Designator,Manufacturer Part Number,Quantity
POWER1,https://www.aliexpress.com/item/1-a-lithium-battery-charging-and-protect-one-plate-protection-2-in-1-18650-lithium-battery/1494965903.html,1
R2,https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-PB6B1501V/P20612CT-ND/6214867,1
R1,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0805FT3R90/RMCF0805FT3R90CT-ND/2418397,1
R3,https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-PB6D1003V/P21247CT-ND/6215502,1
C1,https://www.digikey.ca/product-detail/en/avx-corporation/F930G107MAA/478-8134-1-ND/4005954,1
R4,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RNCP0805FTD150R/RNCP0805FTD150RCT-ND/2240550,1
"C3,C4",https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KOFNNNG/1276-6471-1-ND/5958099,2
C2,https://www.digikey.ca/product-detail/en/kemet/C0805C221M5RACTU/399-8039-1-ND/3471762,1
R10,https://www.aliexpress.com/item/Replacement-Volume-Switch-for-Game-boy-for-GBA-GBC-Motherboard-Potentiomete-100pcs-lot/32830491244.html?spm=a2g0s.8937460.0.0.g6VhGD,1
J3,https://www.digikey.ca/product-detail/en/jst-sales-america-inc/S2B-PH-SM4-TB(LF)(SN)/455-1749-1-ND/926846,1
2.4TFT-ILI9341,https://www.aliexpress.com/item/2-4-inch-SPI-Serial-LCD-Without-Touch-ILI9341-4IO-Port-Can-Be-Driven-18-pin/32854563773.html,1
U1,https://www.digikey.ca/product-detail/en/texas-instruments/LM4875MX-NOPB/296-35282-1-ND/3738990,1
PI1,https://www.digikey.ca/product-detail/en/amphenol-fci/95157-440LF/609-3124-ND/1824561,1
LED1,https://www.digikey.ca/product-detail/en/lite-on-inc/LTST-C191KRKT/160-1447-1-ND/386836,1
X1,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3525NG-GR/CP1-3525NG-GR-ND/2295990,1
U$1,https://www.digikey.ca/product-detail/en/apem-inc/MA12RTR/679-1847-1-ND/1973774,1
J2,https://www.digikey.ca/product-detail/en/mallory-sonalert-products-inc/PSR-20F08S-JQ/458-1122-ND/2071438,1
J4,https://www.digikey.ca/product-detail/en/hirose-electric-co-ltd/ZX62-B-5PA(33)/H125270CT-ND/5994756,1
